,token,count
1309,parts,32
1310,greenhouse,32
1311,ending,32
1312,works,32
1313,socialists,32
1314,fighting,32
1315,mostly,32
1316,sworn,32
1317,radio,32
1318,nine,32
1319,discussion,31
1320,beat,31
1321,aim,31
1322,opening,31
1323,ted,31
1324,october,31
1325,estimated,31
1326,abuse,31
1327,infant,31
1328,drugs,31
1329,save,31
1330,choose,31
1331,hopefuls,31
1332,gregg,31
1333,stands,31
1334,appropriations,31
1335,firm,31
1336,determine,31
1337,ralph,31
1338,broke,31
1339,share,31
1340,complete,31
1341,payment,31
1342,upcoming,31
1343,goes,31
1344,jordan,31
1345,shift,31
1346,happened,31
1347,specific,31
1348,meant,30
1349,fuel,30
1350,convention,30
1351,defended,30
1352,elections,30
1353,word,30
1354,reporter,30
1355,cast,30
1356,furloughed,30
1357,crown,30
1358,wake,30
1359,assault,30
1360,corruption,30
1361,looks,30
1362,addition,30
1363,affected,30
1364,committees,30
1365,newly,30
1366,learned,30
1367,commentators,30
1368,kept,30
1369,commit,30
1370,roll,30
1371,remove,30
1372,communities,30
1373,eventually,30
1374,removed,30
1375,son,30
1376,condemned,30
1377,behalf,30
1378,seven,30
1379,eight,30
1380,treasury,30
1381,named,30
1382,cities,30
1383,ed,30
1384,defend,30
1385,moving,30
1386,requires,30
1387,joseph,30
1388,conducted,30
1389,oval,30
1390,changes,30
1391,lawsuit,30
1392,staffers,30
1393,paper,30
1394,consumer,30
1395,expanding,30
1396,form,30
1397,mainstream,30
1398,individuals,30
1399,banks,29
1400,acosta,29
1401,cruz,29
1402,happening,29
1403,pac,29
1404,matt,29
1405,prince,29
1406,luther,29
1407,racial,29
1408,conspiracy,29
1409,pick,29
1410,unless,29
1411,chamber,29
1412,difficult,29
1413,enter,29
1414,backlash,29
1415,effective,29
1416,ways,29
1417,isis,29
1418,resolve,29
1419,childhood,29
1420,infrastructure,29
1421,agent,29
1422,moved,29
1423,shortly,29
1424,roger,29
1425,muslim,29
1426,picture,29
1427,various,29
1428,remained,29
1429,shaw,29
1430,watch,29
1431,online,29
1432,immigrant,29
1433,limit,29
1434,red,29
1435,asserted,29
1436,minimum,29
1437,suggest,29
1438,carbon,29
1439,discussing,29
1440,february,29
1441,low,29
1442,experts,29
1443,candidacy,29
1444,investigators,29
1445,board,29
1446,expand,29
1447,example,28
1448,gabbard,28
1449,mulvaney,28
1450,experience,28
1451,comprehensive,28
1452,effect,28
1453,particular,28
1454,represented,28
1455,petition,28
1456,appropriate,28
1457,endorsement,28
1458,beginning,28
1459,samuel,28
1460,base,28
1461,east,28
1462,truly,28
1463,recognize,28
1464,pursue,28
1465,challenges,28
1466,scrutiny,28
1467,warning,28
1468,terrorist,28
1469,singman,28
1470,dozens,28
1471,opened,28
1472,conversations,28
1473,hearings,28
1474,bringing,28
1475,whatever,28
1476,dismissed,28
1477,seemed,28
1478,resources,28
1479,crowley,28
1480,date,28
1481,approach,28
1482,industry,28
1483,results,28
1484,pull,28
1485,appeals,28
1486,finish,28
1487,choice,28
1488,journal,28
1489,polls,28
1490,upset,28
1491,appointed,28
1492,questioning,28
1493,fraud,28
1494,aware,27
1495,otto,27
1496,democracy,27
1497,youngest,27
1498,deferred,27
1499,guests,27
1500,television,27
1501,responsibility,27
1502,attempted,27
1503,investment,27
1504,holds,27
1505,investigate,27
1506,regardless,27
1507,francisco,27
1508,embassy,27
1509,salary,27
1510,keeping,27
1511,phone,27
1512,virtually,27
1513,vocal,27
1514,rhetoric,27
1515,ruled,27
1516,advocate,27
1517,hate,27
1518,signs,27
1519,projects,27
1520,percentage,27
1521,touted,27
1522,instagram,27
1523,commitment,27
1524,ban,27
1525,rest,27
1526,piece,27
1527,lose,27
1528,allowing,27
1529,shared,27
1530,rose,27
1531,conduct,27
1532,testify,27
1533,steps,27
1534,test,27
1535,talked,27
1536,ley,26
1537,davis,26
1538,moscow,26
1539,assets,26
1540,announcing,26
1541,fossil,26
1542,wallace,26
1543,transgender,26
1544,epa,26
1545,prove,26
1546,cindy,26
1547,struck,26
1548,rico,26
1549,anthony,26
1550,ohio,26
1551,positive,26
1552,effectively,26
1553,follow,26
1554,transportation,26
1555,lengthy,26
1556,facts,26
1557,recognized,26
1558,levels,26
1559,manufacturing,26
1560,unprecedented,26
1561,reporting,26
1562,ethics,26
1563,friend,26
1564,re,26
1565,prompted,26
1566,present,26
1567,israeli,26
1568,figures,26
1569,conversation,26
1570,promises,26
1571,leaving,26
1572,sit,26
1573,launch,26
1574,faith,26
1575,somebody,26
1576,spokeswoman,26
1577,onto,26
1578,faq,26
1579,per,26
1580,cabinet,26
1581,strategist,26
1582,blocked,26
1583,subject,26
1584,ago,26
1585,western,26
1586,deeply,26
1587,expect,26
1588,wealth,26
1589,gillum,25
1590,covington,25
1591,cynthia,25
1592,perez,25
1593,undocumented,25
1594,tester,25
1595,orders,25
1596,trafficking,25
1597,combat,25
1598,army,25
1599,table,25
1600,involving,25
1601,chairwoman,25
1602,steny,25
1603,aid,25
1604,relations,25
1605,threats,25
1606,decide,25
1607,contenders,25
1608,positions,25
1609,draft,25
1610,articles,25
1611,progressives,25
1612,period,25
1613,train,25
1614,solution,25
1615,evening,25
1616,violated,25
1617,receiving,25
1618,headlines,25
1619,obstruction,25
1620,figure,25
1621,emanuel,25
1622,conway,25
1623,veto,25
1624,resign,25
1625,cause,25
1626,hawley,25
1627,supposed,25
1628,addressed,25
1629,addressing,25
1630,dangerous,25
1631,dozen,25
1632,complaint,25
1633,caused,25
1634,lines,25
1635,common,25
1636,walk,25
1637,setting,25
1638,fairfax,24
1639,slated,24
1640,believed,24
1641,career,24
1642,challenging,24
1643,allows,24
1644,passing,24
1645,authorities,24
1646,crowded,24
1647,arrested,24
1648,hand,24
1649,urging,24
1650,menendez,24
1651,arizona,24
1652,recipients,24
1653,meaning,24
1654,al,24
1655,mcdaniel,24
1656,focusing,24
1657,cpac,24
1658,ryan,24
1659,dianne,24
1660,maxine,24
1661,witnesses,24
1662,clearly,24
1663,bush,24
1664,floated,24
1665,ballot,24
1666,worth,24
1667,model,24
1668,offers,24
1669,strike,24
1670,hands,24
1671,actual,24
1672,trust,24
1673,handling,24
1674,officer,24
1675,true,24
1676,greater,24
1677,officers,24
1678,happen,24
1679,tonight,24
1680,reject,24
1681,original,24
1682,solutions,24
1683,smith,24
1684,ambassador,24
1685,critic,24
1686,introduce,24
1687,afford,24
1688,funded,24
1689,rates,24
1690,looked,24
1691,paso,24
1692,kill,24
1693,fought,24
1694,extend,24
1695,class,24
1696,inside,24
1697,thank,24
1698,affect,24
1699,editor,24
1700,society,24
1701,representing,24
1702,involvement,24
1703,cooperate,24
1704,corey,23
1705,castro,23
1706,gaetz,23
1707,harvard,23
1708,subpoena,23
1709,advocates,23
1710,establishment,23
1711,rid,23
1712,guest,23
1713,meddling,23
1714,immediate,23
1715,produce,23
1716,pentagon,23
1717,bolton,23
1718,constituents,23
1719,jerusalem,23
1720,accusing,23
1721,jason,23
1722,thomas,23
1723,openly,23
1724,violations,23
1725,fall,23
1726,violent,23
1727,mass,23
1728,wealthy,23
1729,soldiers,23
1730,palestinian,23
1731,terror,23
1732,cummings,23
1733,challenged,23
1734,average,23
1735,dream,23
1736,concerned,23
1737,broader,23
1738,protest,23
1739,promote,23
1740,seems,23
1741,existing,23
1742,branch,23
1743,alone,23
1744,harassment,23
1745,market,23
1746,overhaul,23
1747,thinking,23
1748,stormy,23
1749,vietnam,23
1750,listed,23
1751,discharge,22
1752,patton,22
1753,designed,22
1754,organizations,22
1755,protected,22
1756,course,22
1757,lieutenant,22
1758,dakota,22
1759,arrivals,22
1760,scale,22
1761,powers,22
1762,christmas,22
1763,lobbying,22
1764,traveled,22
1765,credit,22
1766,reagan,22
1767,returned,22
1768,network,22
1769,echoed,22
1770,deadline,22
1771,widespread,22
1772,louis,22
1773,sending,22
1774,tackle,22
1775,signaled,22
1776,ten,22
1777,wins,22
1778,gavin,22
1779,jail,22
1780,challenger,22
1781,opposing,22
1782,surveillance,22
1783,carlson,22
1784,victims,22
1785,values,22
1786,engaged,22
1787,concern,22
1788,deny,22
1789,capital,22
1790,juan,22
1791,color,22
1792,hurt,22
1793,unveiled,22
1794,sort,22
1795,embrace,22
1796,fundraising,22
1797,designated,22
1798,supporter,22
1799,totally,22
1800,places,22
1801,moral,22
1802,protecting,22
1803,contentious,22
1804,spend,22
1805,seriously,22
1806,audience,22
1807,criticizing,22
1808,judges,22
1809,doubt,22
1810,reducing,22
1811,courts,22
1812,aisle,22
1813,regulatory,22
1814,physicians,22
1815,briefing,22
1816,broken,22
1817,antonio,22
1818,felt,22
1819,anchor,22
1820,misconduct,22
1821,stage,22
1822,stephen,22
1823,daniels,22
1824,strategy,22
1825,summer,22
1826,sasse,21
